COUNTY,DISTRICT_NAME,DIST_CODE,K-12_2015-2016_TOTAL AID,EQUALIZATION_AID,EDUCATIONAL_ADEQUACY_AID,CHOICE_AID,TRANSPORTATION_AID,SPECIAL_EDUCATION_CATEGORICAL_AID,SECURITY_AID,UNDER_ADEQUACY_AID,SUPPLEMENTAL_ENROLLMENT_GROWTH_AID,PARCC_READINESS_AID,PER_PUPIL_GROWTH_AID,ADJUSTMENT_AID,ADDITIONAL_ADJUSTMENT_AID,PROFESSIONAL_LEARNING_COMMUNITY_AID,HOST_DISTRICT_SUPPORT_AID,K-12_2016-2017_TOTAL_AID,ONE _YEAR_AID_CHANGE,%_AID_CHANGE
CAMDEN,BROOKLAWN BORO,580,"4,371,742","3,451,709",0,"519,365","6,387","230,405","22,579","98,367",0,"4,060","4,060",0,"142,142","3,620",0,"4,482,694","110,952",2.50%
CAMDEN,CAMDEN CITY,680,"279,847,597","215,703,707",0,0,"4,491,244","8,402,662","5,974,677",0,0,"148,690","148,690","45,048,515",0,"154,380",0,"280,072,565","224,968",0.10%
CAMDEN,CAMDEN COUNTY VOCATIONAL,700,"22,332,661","21,059,567",0,0,0,"1,184,648","191,127",0,0,"22,560","22,560",0,0,"20,740",0,"22,501,202","168,541",0.80%
CAMDEN,CHERRY HILL TWP,800,"12,949,463","5,670,267",0,0,"555,448","6,294,933","264,597",0,0,"108,570","108,570",0,0,"107,620",0,"13,110,005","160,542",1.20%
CAMDEN,CHESILHURST,810,"2,496,590","1,533,518",0,0,"122,687","95,861","50,877",0,0,"1,310","1,310","691,027",0,"1,440",0,"2,498,030","1,440",0.10%
CAMDEN,CLEMENTON BORO,880,"6,362,243","5,785,597",0,0,"57,738","371,383","135,485",0,0,"6,020","6,020",0,0,"5,390",0,"6,367,633","5,390",0.10%
CAMDEN,COLLINGSWOOD BORO,940,"10,400,195","7,838,657",0,"171,054","176,430","924,652","267,409",0,0,"16,010","16,010","1,044,170",0,"16,430",0,"10,470,822","70,627",0.70%
CAMDEN,EASTERN CAMDEN COUNTY REG,1255,"9,266,273","7,393,341",0,0,"454,241","1,217,428","166,156",0,0,"20,440","20,440",0,0,"20,340",200,"9,292,586","26,313",0.30%
CAMDEN,GIBBSBORO BORO,1720,"1,410,707","857,242",0,0,"20,818","136,463","19,851",0,0,"2,630","2,630","374,002",0,"2,310",0,"1,415,946","5,239",0.40%
CAMDEN,GLOUCESTER CITY,1770,"30,074,492","19,016,980",0,0,"233,679","1,014,725","591,010",0,0,"18,040","18,040","9,195,313",0,"18,830","1,575","30,108,192","33,700",0.10%
CAMDEN,GLOUCESTER TWP,1780,"50,849,479","45,803,377",0,0,"513,108","3,915,535","487,009",0,0,"65,225","65,225",0,0,"62,050",0,"50,911,529","62,050",0.10%
CAMDEN,HADDON HEIGHTS BORO,1880,"1,693,227","446,874",0,"378,030","104,187","500,273","66,157",0,0,"8,930","8,930","192,447",0,"9,030",0,"1,714,858","21,631",1.30%
CAMDEN,HADDON TWP,1890,"8,392,963","7,088,284",0,0,"74,530","1,177,275","44,199",0,0,"19,715","19,715",0,0,"19,915",0,"8,443,633","50,670",0.60%
CAMDEN,HADDONFIELD,1900,"928,036",0,0,0,"40,814","802,294","41,592","1,828",0,"24,780","24,780",243,0,"25,655",0,"961,986","33,950",3.70%
CAMDEN,HI NELLA,2130,"856,878","683,664",0,0,"37,318","59,002","24,574","58,093",0,"1,170","1,170",0,0,"1,430",0,"866,421","9,543",1.10%
CAMDEN,LAUREL SPRINGS BORO,2540,"1,901,258","1,542,969",0,"150,720","2,863","187,451","7,788",0,0,"3,390","3,390",0,"15,072","3,330",0,"1,916,973","15,715",0.80%
CAMDEN,LAWNSIDE BORO,2560,"3,721,485","3,317,492",0,"55,208","29,924","259,513","78,427",0,0,"3,940","3,940",0,0,"4,040",0,"3,752,484","30,999",0.80%
CAMDEN,LINDENWOLD BORO,2670,"24,546,306","22,269,343",0,"293,755","167,623","1,304,369","430,638","179,546",0,"24,300","24,300",0,"29,975","27,020","13,281","24,764,150","217,844",0.90%
CAMDEN,MAGNOLIA BORO,2890,"3,058,381","2,793,148",0,0,"2,078","244,021","22,793",0,0,"3,650","3,650",0,1,"4,050",0,"3,073,391","15,010",0.50%
CAMDEN,MERCHANTVILLE BORO,3110,"2,319,673","1,476,290",0,"544,852","24,628","236,151","15,047","28,323",0,"4,040","4,040",0,0,"4,770","4,690","2,342,831","23,158",1.00%
CAMDEN,MOUNT EPHRAIM BORO,3420,"3,916,565","3,318,797",0,"175,628","12,869","365,699","20,463",0,0,"6,120","6,120",0,"38,180","6,000",0,"3,949,876","33,311",0.90%
CAMDEN,OAKLYN BORO,3770,"2,602,944","2,145,996",0,"134,022","7,293","275,669","23,254","16,232",0,"5,210","5,210",0,"9,573","4,580",0,"2,627,039","24,095",0.90%
CAMDEN,PENNSAUKEN TWP,4060,"48,134,029","43,267,622",0,0,"534,586","3,077,525","1,492,071",0,0,"51,380","51,380",0,0,"51,805",0,"48,526,369","392,340",0.80%
CAMDEN,PINE HILL BORO,4110,"16,292,748","14,563,179",0,"306,300","237,752","883,541","414,356",0,0,"15,735","15,735",0,0,"16,360",0,"16,452,958","160,210",1.00%
CAMDEN,RUNNEMEDE BORO,4590,"4,834,125","4,209,516",0,"89,353","21,255","481,898","41,674",496,0,"7,940","7,940",0,"8,123","8,390",264,"4,876,849","42,724",0.90%
CAMDEN,SOMERDALE BORO,4790,"3,038,546","2,449,846",0,"245,295","5,588","257,488","28,521","36,799",0,"5,540","5,540",0,"54,510","4,930",0,"3,094,057","55,511",1.80%
CAMDEN,STERLING HIGH SCHOOL DIST,5035,"6,831,315","5,520,854",0,"798,506","12,482","501,852","31,881",0,0,"7,660","7,660",0,0,"8,540",0,"6,889,435","58,120",0.90%
CAMDEN,STRATFORD BORO,5080,"4,420,100","3,742,620",0,"156,366","44,058","427,954","24,380",0,0,"7,130","7,130",0,"41,639","7,090",0,"4,458,367","38,267",0.90%
CAMDEN,VOORHEES TWP,5400,"5,535,319","2,916,383",0,0,"525,501","1,699,913","236,331",0,0,"28,215","28,215",0,"100,761","27,615",0,"5,562,934","27,615",0.50%
CAMDEN,WATERFORD TWP,5560,"12,574,896","10,427,797",0,"285,442","683,050","981,906","200,265",0,0,"16,820","16,820",0,"6,962","15,800",0,"12,634,862","59,966",0.50%
CAMDEN,WINSLOW TWP,5820,"44,125,936","38,341,995",0,0,"1,066,545","3,025,665","1,389,418",0,0,"46,290","46,290","209,733",0,"45,730",0,"44,171,666","45,730",0.10%
CAMDEN,WOODLYNNE BORO,5900,"6,938,821","6,470,423",0,0,"24,467","349,858","63,427","70,192",0,"5,950","5,950",0,0,"5,650",0,"6,995,917","57,096",0.80%
CAPE MAY,AVALON BORO,170,"73,209",0,0,0,"27,597","39,551","4,841",0,0,610,610,0,0,400,0,"73,609",400,0.50%
CAPE MAY,CAPE MAY CITY,710,"553,673",0,0,"152,251","5,993","78,905","40,306",0,0,"1,330","1,330","273,558",0,"1,700",0,"555,373","1,700",0.30%
CAPE MAY,CAPE MAY CO VOCATIONAL,720,"1,382,814",0,0,0,0,"349,150","74,927",0,0,"6,450","6,450","952,562",0,"6,510",0,"1,396,049","13,235",1.00%
CAPE MAY,CAPE MAY POINT,730,"26,803",0,0,0,"1,796",187,156,0,0,30,30,"20,226","4,544",40,0,"27,009",206,0.80%
CAPE MAY,DENNIS TWP,1080,"6,161,005","1,063,893",0,0,"641,970","441,644","81,178",0,0,"6,880","6,880","3,819,316","99,244","6,050",0,"6,167,055","6,050",0.10%
CAPE MAY,LOWER CAPE MAY REGIONAL,2820,"9,763,644","95,936",0,"924,399","1,178,704","862,052","350,566",0,0,"14,230","14,230","6,528,949",0,"13,610",0,"9,982,676","219,032",2.20%
CAPE MAY,LOWER TWP,2840,"10,161,297","5,202,298",0,"796,248","764,271","888,970","446,178",0,0,"16,460","16,460","2,030,412",0,"15,850",0,"10,177,147","15,850",0.20%
CAPE MAY,MIDDLE TWP,3130,"13,485,581","6,227,922",0,"194,106","1,481,841","1,313,489","460,710",0,0,"22,560","22,560","3,724,488","119,889","22,505",0,"13,590,070","104,489",0.80%
CAPE MAY,NORTH WILDWOOD CITY,3680,"666,740",0,0,0,"49,582","156,877","60,674",0,0,"3,100","3,100","396,411",0,"2,780",0,"672,524","5,784",0.90%
CAPE MAY,OCEAN CITY,3780,"3,766,449",0,0,"2,654,400","232,343","667,169","162,163",0,0,"13,740","13,740",0,"27,650","14,470","1,401","3,787,076","20,627",0.50%
CAPE MAY,SEA ISLE CITY,4700,"254,766",0,0,0,"96,010","61,912","16,305",0,"32,384",930,930,"44,536","1,937",830,0,"255,774","1,008",0.40%
CAPE MAY,STONE HARBOR BORO,5060,"53,463",0,0,0,"19,876","23,364","2,797",0,0,350,350,"3,705","3,219",310,0,"53,971",508,1.00%
CAPE MAY,UPPER TWP,5340,"10,113,224","4,307,772",0,"473,760","1,445,583","1,098,835","164,852",0,0,"19,270","19,270","2,640,282",0,"19,420",0,"10,189,044","75,820",0.70%
CAPE MAY,WEST CAPE MAY BORO,5610,"508,018",0,0,"548,457","5,454","28,525","6,810","38,690",0,830,830,0,0,650,0,"630,246","122,228",24.10%
CAPE MAY,WEST WILDWOOD,5700,"39,176",0,0,0,"2,389","33,700","2,835",0,0,520,520,0,0,370,0,"40,334","1,158",3.00%
CAPE MAY,WILDWOOD CITY,5790,"5,185,220","863,844",0,0,"119,536","402,345","277,022",0,0,"7,750","7,750","3,525,216",0,"7,610",0,"5,211,073","25,853",0.50%
CAPE MAY,WILDWOOD CREST BORO,5800,"656,345",0,0,"186,998","52,476","166,971","38,034",0,0,"2,480","2,480","249,420",0,"2,790",0,"701,649","45,304",6.90%
CAPE MAY,WOODBINE BORO,5840,"2,969,115","1,802,434",0,"32,028","164,200","124,339","85,575",0,0,"2,260","2,260","756,649",0,"2,290",0,"2,972,035","2,920",0.10%
CUMBERLAND,BRIDGETON CITY,540,"79,952,446","70,757,137","3,901,078",0,"612,716","2,759,976","2,049,360","311,832",0,"53,690","53,690",0,0,"57,240","50,647","80,607,366","654,920",0.80%
CUMBERLAND,COMMERCIAL TWP,950,"10,238,670","9,270,768",0,0,"209,898","475,209","282,814",944,0,"7,800","7,800",0,0,"7,590",0,"10,262,823","24,153",0.20%
CUMBERLAND,CUMBERLAND CO VOCATIONAL,995,"3,925,903","3,730,817",0,0,0,"165,041","22,808",0,0,"3,730","3,730",0,0,"2,550",0,"3,928,676","2,773",0.10%
CUMBERLAND,CUMBERLAND REGIONAL,997,"12,145,935","10,130,093",0,"856,660","144,916","708,459","184,232",0,0,"12,940","12,940","9,083","172,326","12,800",0,"12,244,449","98,514",0.80%
CUMBERLAND,DEERFIELD TWP,1020,"2,492,401","2,232,404",0,0,"22,206","194,666","45,634",0,0,"3,220","3,220",0,0,"3,110",0,"2,504,460","12,059",0.50%
CUMBERLAND,DOWNE TWP,1120,"1,855,926","1,148,599",0,"198,816","113,283","109,379","40,699",0,0,"1,970","1,970","199,790","41,420","1,840",0,"1,857,766","1,840",0.10%
CUMBERLAND,FAIRFIELD TWP,1460,"6,003,352","5,131,539",0,0,"158,123","292,489","168,555","41,872",0,"4,940","4,940","244,271",0,"5,600","7,744","6,060,073","56,721",0.90%
CUMBERLAND,GREENWICH TWP,1820,"428,348","189,820",0,0,"17,030","37,201","7,420",0,0,645,645,"175,587",0,560,0,"428,908",560,0.10%
CUMBERLAND,HOPEWELL TWP,2270,"3,414,818","2,680,403",0,0,"146,745","274,695","72,462","4,710",0,"5,010","5,010","235,680",0,"4,760",0,"3,429,475","14,657",0.40%
CUMBERLAND,LAWRENCE TWP,2570,"6,056,628","5,091,223",0,"428,960","64,740","335,985","160,344","3,746",0,"5,780","5,780",0,0,"6,010","2,394","6,104,962","48,334",0.80%
CUMBERLAND,MAURICE RIVER TWP,3050,"4,719,314","3,562,814",0,"436,028","293,159","287,934","96,207","21,720",0,"5,470","5,470",0,"35,740","5,190",0,"4,749,732","30,418",0.60%
CUMBERLAND,MILLVILLE CITY,3230,"67,959,813","49,661,944",0,0,"1,606,779","2,732,287","1,561,540",0,0,"49,600","49,600","12,298,063",0,"49,210",0,"68,009,023","49,210",0.10%
CUMBERLAND,STOW CREEK TWP,5070,"832,248","566,534",0,0,"52,430","69,186","16,507",0,0,"1,150","1,150","121,527","5,359","1,080",0,"834,923","2,675",0.30%
CUMBERLAND,UPPER DEERFIELD TWP,5300,"6,282,322","5,627,066",0,0,"66,969","465,051","151,057",0,0,"8,370","8,370",0,0,"8,670",183,"6,335,736","53,414",0.90%
CUMBERLAND,VINELAND CITY,5390,"136,686,610","90,151,959",0,"11,300","4,318,538","5,294,946","3,053,366",0,0,"101,180","101,180","33,614,591","50,850","101,430",0,"136,799,340","112,730",0.10%
ESSEX,BELLEVILLE TOWN,250,"25,724,925","21,896,193",0,0,"221,550","2,880,246","332,971","500,000",0,"47,430","47,430",0,0,"45,960",0,"25,971,780","246,855",1.00%
ESSEX,BLOOMFIELD TWP,410,"20,825,814","15,175,445",0,0,"225,567","3,747,967","1,217,753","500,000",0,"63,400","63,400",0,0,"64,430",0,"21,057,962","232,148",1.10%
ESSEX,CALDWELL-WEST CALDWELL,660,"1,013,340",0,0,0,"82,330","838,058","46,270",0,0,"26,025","26,025",0,0,"25,815",0,"1,044,523","31,183",3.10%
ESSEX,CEDAR GROVE TWP,760,"757,307",0,0,0,"66,137","630,950","30,041",0,0,"17,010","17,010",0,0,"16,490",0,"777,638","20,331",2.70%
ESSEX,EAST ORANGE,1210,"178,156,410","134,162,325",0,0,"1,172,856","6,445,125","3,875,263",0,0,"98,680","98,680","32,347,230",0,"97,490",0,"178,297,649","141,239",0.10%
ESSEX,ESSEX CO VOC-TECH,1390,"20,629,708","19,162,333",0,0,0,"1,303,998","220,501",0,0,"22,300","22,300",0,"45,849","22,660",0,"20,799,941","170,233",0.80%
ESSEX,ESSEX FELLS BORO,1400,"98,276",0,0,0,"1,019","89,272","3,084",0,0,"1,760","1,760",0,"1,915","1,780",0,"100,590","2,314",2.40%
ESSEX,FAIRFIELD TWP,1465,"309,341",0,0,0,"21,731","264,242","12,368",0,0,"6,260","6,260",0,1,"6,020",0,"316,882","7,541",2.40%
ESSEX,GLEN RIDGE BORO,1750,"758,391",0,0,0,"28,002","663,097","33,353",0,0,"18,960","18,960",0,0,"18,520",0,"780,892","22,501",3.00%
ESSEX,IRVINGTON TOWNSHIP,2330,"112,373,117","82,111,552",0,0,"1,164,430","4,401,641","2,533,865",0,0,"71,110","71,110","22,051,380",0,"73,300","817,992","113,296,380","923,263",0.80%
ESSEX,LIVINGSTON TWP,2730,"2,536,196",0,0,0,"241,059","2,084,235","104,597",0,0,"59,680","59,680",0,0,"60,050",0,"2,609,301","73,105",2.90%
ESSEX,MILLBURN TWP,3190,"1,981,782",0,0,0,"151,719","1,654,109","87,549",0,0,"49,400","49,400",0,0,"49,040",0,"2,041,217","59,435",3.00%
ESSEX,MONTCLAIR TOWN,3310,"6,722,691",0,0,0,"1,175,389","4,231,151","749,384",0,0,"68,020","68,020","322,539","180,765","67,800",0,"6,863,068","140,377",2.10%
ESSEX,NEWARK CITY,3570,"715,271,519","649,173,190",0,0,"6,797,523","28,732,094","19,436,638",0,0,"477,920","477,920","12,840,459","1,520,789","506,590","22,061,928","742,025,051","26,753,532",3.70%
ESSEX,NORTH CALDWELL BORO,3630,"233,468",0,0,0,"84,466","88,313","48,882",0,0,"6,540","6,540",0,1,"6,430",0,"241,172","7,704",3.30%
ESSEX,NUTLEY TOWN,3750,"7,002,612","4,336,516",0,0,"104,457","2,451,565","81,159",0,0,"40,380","40,380",0,0,"40,640",0,"7,095,097","92,485",1.30%
ESSEX,CITY OF ORANGE TWP,3880,"73,454,820","61,067,087","7,152,931",0,"568,151","2,919,794","1,858,563","265,589",0,"49,800","49,800",0,0,"52,570","36,410","74,020,695","565,875",0.80%
ESSEX,ROSELAND BORO,4530,"276,702",0,0,0,"23,894","237,363","8,056",0,0,"4,330","4,330",0,1,"4,060",0,"282,034","5,332",1.90%
ESSEX,SOUTH ORANGE-MAPLEWOOD,4900,"4,216,218",0,0,0,"323,922","3,583,657","187,988",0,0,"70,160","70,160",0,0,"71,680",0,"4,307,567","91,349",2.20%
ESSEX,VERONA BORO,5370,"887,647",0,0,0,"19,303","793,816","38,359",0,0,"21,960","21,960",0,0,"21,290",0,"916,688","29,041",3.30%
ESSEX,WEST ESSEX REGIONAL,5630,"1,029,742",0,0,0,"182,327","788,960","29,634",0,0,"16,800","16,800",0,1,"17,460",0,"1,051,982","22,240",2.20%
ESSEX,WEST ORANGE TOWN,5680,"6,950,527","1,731,112",0,0,"524,095","4,143,435","440,321",0,0,"70,410","70,410",0,0,"67,900",0,"7,047,683","97,156",1.40%
GLOUCESTER,CLAYTON BORO,860,"9,844,658","8,722,290",0,"141,455","70,560","742,641","180,975","77,145",0,"13,055","13,055",0,0,"13,740",702,"9,975,618","130,960",1.30%
GLOUCESTER,CLEARVIEW REGIONAL,870,"14,902,735","12,745,719",0,0,"440,789","1,418,100","196,159","124,697",0,"25,200","25,200",0,0,"24,230",0,"15,000,094","97,359",0.70%
GLOUCESTER,DEPTFORD TWP,1100,"23,442,806","20,209,857",0,"126,182","365,085","2,328,005","483,815","12,894",0,"41,780","41,780",0,0,"41,980",0,"23,651,378","208,572",0.90%
GLOUCESTER,EAST GREENWICH TWP,1180,"3,414,738","1,965,539",0,0,"98,186","626,378","83,010","123,906","539,780","12,990","12,990",0,0,"13,190",0,"3,475,969","61,231",1.80%
GLOUCESTER,ELK TWP,1330,"2,554,913","2,013,576",0,"86,628","157,280","195,091","66,201","5,178",0,"3,320","3,320","38,757",0,"3,010",0,"2,572,361","17,448",0.70%
GLOUCESTER,FRANKLIN TWP,1590,"8,728,582","7,451,834",0,0,"398,979","737,647","177,000",0,0,"12,550","12,550",0,0,"12,970",0,"8,803,530","74,948",0.90%
GLOUCESTER,GATEWAY REGIONAL,1715,"7,471,284","5,844,445",0,"563,112","450,129","494,440","118,138",0,0,"9,350","9,350",0,"7,128","9,780","1,193","7,507,065","35,781",0.50%
GLOUCESTER,GLASSBORO,1730,"16,453,397","14,781,988",0,"122,281","124,448","1,191,065","272,057",0,0,"21,040","21,040",0,0,"20,390",0,"16,554,309","100,912",0.60%
GLOUCESTER,GLOUCESTER CO VOCATIONAL,1775,"7,664,653","6,963,557",0,0,0,"692,109","35,659",0,0,"13,980","13,980",0,0,"13,440",0,"7,732,725","68,072",0.90%
GLOUCESTER,GREENWICH TWP,1830,"1,122,508",0,0,0,"272,578","346,767","86,030",0,0,"5,670","5,670","410,720",0,"5,510",0,"1,132,945","10,437",0.90%
GLOUCESTER,HARRISON TWP,2070,"6,128,763","5,034,332",0,0,"188,491","800,303","107,201",0,0,"13,560","13,560",0,0,"13,580",0,"6,171,027","42,264",0.70%
GLOUCESTER,KINGSWAY REGIONAL,2440,"8,742,379","6,135,572",0,0,"293,272","1,152,423","160,339","133,057","921,670","22,880","22,880",0,0,"24,530",277,"8,866,900","124,521",1.40%
GLOUCESTER,LOGAN TWP,2750,"5,395,095","3,990,950",0,0,"384,544","633,953","101,621",0,0,"10,620","10,620","220,299","42,488","10,690",0,"5,405,785","10,690",0.20%
GLOUCESTER,MANTUA TWP,2990,"6,160,906","5,286,989",0,0,"94,099","731,840","24,998",0,0,"11,490","11,490",0,0,"10,795",0,"6,171,701","10,795",0.20%
GLOUCESTER,MONROE TWP,3280,"34,528,463","29,970,215",0,0,"493,145","3,393,886","664,750","138,556",0,"59,305","59,305",0,0,"59,800",0,"34,838,962","310,499",0.90%
GLOUCESTER,NATIONAL PARK BORO,3490,"2,077,854","1,907,816",0,0,"7,275","150,383","15,213",0,0,"2,300","2,300",0,0,"2,430",0,"2,087,717","9,863",0.50%
GLOUCESTER,NEWFIELD BORO,3580,"1,425,282","1,168,356",0,0,"88,650","130,013","43,725",0,0,"2,340","2,340",0,0,"2,170",0,"1,437,594","12,312",0.90%
GLOUCESTER,PAULSBORO BORO,4020,"12,135,584","11,416,506",0,"50,435","30,054","624,492","87,962",0,0,"10,345","10,345",0,0,"10,440",0,"12,240,579","104,995",0.90%
GLOUCESTER,PITMAN BORO,4140,"9,827,865","7,117,182",0,0,"148,522","802,068","136,140",0,0,"13,720","13,720","1,605,865",0,"13,035",0,"9,850,252","22,387",0.20%
GLOUCESTER,SOUTH HARRISON TWP,4880,"1,585,407","898,191",0,"257,877","35,253","210,863","26,269","6,832","149,760","3,690","3,690",0,"38,204","3,830",0,"1,634,459","49,052",3.10%
GLOUCESTER,DELSEA REGIONAL H.S DIST.,4940,"13,957,749","12,086,304",0,"384,888","300,718","956,261","231,243",0,0,"16,350","16,350",0,0,"14,950",0,"14,007,064","49,315",0.40%
GLOUCESTER,SWEDESBORO-WOOLWICH,5120,"6,886,950","4,556,502",0,0,"250,973","1,016,623","142,549","4,684","963,615","17,670","17,670",0,0,"17,030",244,"6,987,560","100,610",1.50%
GLOUCESTER,WASHINGTON TWP,5500,"50,044,915","38,162,410",0,0,"2,909,313","4,519,182","747,449",0,0,"73,560","73,560","3,559,441",0,"70,390",0,"50,115,305","70,390",0.10%
GLOUCESTER,WENONAH BORO,5590,"498,684","348,977",0,0,"1,070","140,582","3,555",120,0,"2,190","2,190",0,0,"1,810",0,"500,494","1,810",0.40%
GLOUCESTER,WEST DEPTFORD TWP,5620,"12,031,649","9,729,112",0,0,"331,027","1,706,085","293,580",0,0,"29,050","29,050",0,0,"28,765",0,"12,146,669","115,020",1.00%
GLOUCESTER,WESTVILLE BORO,5740,"2,472,098","2,284,324",0,0,"3,994","174,074","20,739",0,0,"3,250","3,250",0,0,"3,280",0,"2,492,911","20,813",0.80%
GLOUCESTER,WOODBURY CITY,5860,"12,005,409","10,913,034",0,"125,388","50,380","864,312","107,702",0,0,"14,380","14,380",0,0,"13,950",0,"12,103,526","98,117",0.80%
GLOUCESTER,WOODBURY HEIGHTS BORO,5870,"996,609","850,798",0,0,"5,453","134,019","5,736",0,0,"2,120","2,120",0,0,"2,260",0,"1,002,506","5,897",0.60%
HUDSON,BAYONNE CITY,220,"53,524,660","46,891,127",0,0,"75,758","5,528,863","741,826","500,000",0,"92,880","92,880",0,0,"93,100",0,"54,016,434","491,774",0.90%
HUDSON,EAST NEWARK BORO,1200,"3,395,757","3,089,480",0,0,"8,356","216,241","27,928","72,274",0,"4,030","4,030",0,0,"4,100",0,"3,426,439","30,682",0.90%
HUDSON,GUTTENBERG TOWN,1850,"5,033,239","3,617,650",0,0,"9,175","818,664","211,317","400,877",0,"12,860","12,860",0,0,"12,870",310,"5,096,583","63,344",1.30%
HUDSON,HARRISON TOWN,2060,"25,383,780","23,068,930",0,0,"146,237","1,274,541","827,463","40,247",0,"19,970","19,970",0,0,"20,830",0,"25,418,188","34,408",0.10%
HUDSON,HOBOKEN CITY,2210,"10,656,560",0,0,"2,645,874","124,453","1,492,059","727,825",0,0,"24,610","24,610","5,362,105","255,024","25,960",0,"10,682,520","25,960",0.20%
HUDSON,HUDSON COUNTY VOCATIONAL,2295,"21,109,363","19,323,431",0,0,"150,846","1,494,362","172,099",0,0,"21,310","21,310",0,1,"20,820",0,"21,204,179","94,816",0.40%
HUDSON,JERSEY CITY,2390,"418,471,290","270,661,365","125,411",0,"2,953,347","18,332,551","11,334,316",0,0,"306,070","306,070","114,452,158",2,"308,600",0,"418,779,890","308,600",0.10%
HUDSON,KEARNY TOWN,2410,"30,634,645","26,205,446",0,0,"57,192","3,583,423","408,316","500,000",0,"58,140","58,140",0,0,"58,330",0,"30,928,987","294,342",1.00%
HUDSON,NORTH BERGEN TWP,3610,"56,603,083","50,667,188",0,0,"172,404","4,632,403","901,738","500,000",0,"74,130","74,130",0,0,"73,140",0,"57,095,133","492,050",0.90%
HUDSON,SECAUCUS TOWN,4730,"970,026",0,0,0,"86,193","773,872","75,507",0,0,"21,370","21,370",0,0,"21,230",0,"999,542","29,516",3.00%
HUDSON,UNION CITY,5240,"177,818,679","165,595,041",0,0,"475,492","6,865,654","5,261,717","447,622",0,"115,940","115,940",0,0,"122,720","5,575","179,005,701","1,187,022",0.70%
HUDSON,WEEHAWKEN TWP,5580,"2,693,051",0,0,0,"150,232","740,426","351,824",0,0,"12,510","12,510","1,441,112",0,"13,590",504,"2,722,708","29,657",1.10%
HUDSON,WEST NEW YORK TOWN,5670,"93,312,984","85,711,695",0,0,"513,418","4,250,971","2,865,890","500,000",0,"73,420","73,420",0,0,"76,440",734,"94,065,988","753,004",0.80%
HUNTERDON,ALEXANDRIA TWP,20,"1,607,869","644,612",0,"331,292","253,247","335,552","42,678",0,0,"4,750","4,750","16,472","25,484","4,480",0,"1,663,317","55,448",3.40%
HUNTERDON,BETHLEHEM TWP,370,"1,542,185","984,263",0,"56,695","81,797","301,829","37,641",0,0,"4,270","4,270",0,"71,420","3,630",0,"1,545,815","3,630",0.20%
HUNTERDON,BLOOMSBURY BORO,430,"1,292,655","771,691",0,"313,310","9,998","106,452","6,916","2,558",0,"1,810","1,810",0,"132,632","1,680",0,"1,348,857","56,202",4.30%
HUNTERDON,CALIFON BORO,670,"296,906","149,438",0,"45,876","3,762","93,822","2,028",0,0,990,990,0,"22,938",910,0,"320,754","23,848",8.00%
HUNTERDON,CLINTON TOWN,910,"1,224,282","613,561",0,"39,591","28,503","227,785","26,989",0,0,"4,620","4,620","292,658",0,"4,380",0,"1,242,707","18,425",1.50%
HUNTERDON,CLINTON TWP,920,"2,288,009",0,0,"507,624","168,475","780,444","83,110",0,0,"14,050","14,050",0,"741,912","12,750",0,"2,322,415","34,406",1.50%
HUNTERDON,DELAWARE TWP,1040,"1,170,306",0,0,"301,806","167,383","267,084","34,010",0,0,"3,800","3,800","392,423",0,"3,740",0,"1,174,046","3,740",0.30%
HUNTERDON,DELAWARE VALLEY REGIONAL,1050,"3,997,620","3,173,700",0,0,"116,642","592,662","74,763",0,0,"9,080","9,080",0,"21,693","8,210",0,"4,005,830","8,210",0.20%
HUNTERDON,EAST AMWELL TWP,1160,"873,046",0,0,"267,200","181,957","280,435","37,939",0,0,"3,620","3,620","98,275",0,"3,160",0,"876,206","3,160",0.40%
HUNTERDON,SOUTH-HUNTERDON,1376,"2,182,624",0,0,"1,254,890","262,308","497,369","77,081","1,057",0,"9,880","9,880",0,"74,623","9,880",0,"2,196,968","14,344",0.70%
HUNTERDON,FLEMINGTON-RARITAN REG,1510,"6,126,350","3,522,651",0,0,"313,717","2,087,364","140,035",0,0,"32,465","32,465",0,0,"30,670",0,"6,159,367","33,017",0.50%
HUNTERDON,FRANKLIN TWP,1600,"329,410",0,0,"90,286","32,888","184,932","16,949",0,0,"2,690","2,690",0,0,"2,970",0,"333,405","3,995",1.20%
HUNTERDON,FRENCHTOWN BORO,1680,"735,352","508,039",0,"135,422",457,"85,703","3,251",0,0,"1,240","1,240",0,"9,673","1,240",0,"746,265","10,913",1.50%
HUNTERDON,HAMPTON BORO,1970,"896,297","651,390",0,"155,584","3,651","73,373","8,354",0,0,870,870,"5,089","44,988",980,0,"945,149","48,852",5.50%
HUNTERDON,HIGH BRIDGE BORO,2140,"1,465,445","1,047,717",0,"30,348","14,338","210,436","29,836",0,0,"3,330","3,330","119,023","23,486","3,580",0,"1,485,424","19,979",1.40%
HUNTERDON,HOLLAND TWP,2220,"1,793,054","1,291,479",0,"53,805","53,541","373,356","9,453",0,0,"5,710","5,710",0,0,"5,160",0,"1,798,214","5,160",0.30%
HUNTERDON,HUNTERDON CENTRAL REG,2300,"5,662,438","3,185,863",0,"233,342","308,410","1,840,406","48,383",0,0,"29,880","29,880",0,0,"29,810",0,"5,705,974","43,536",0.80%
