YEAR,COUNTY_NAME,Dist,DISTRICT_NAME,"2017-18 Total
K-12 Aid",2018-19 Governor's Budget Message (GBM) Total K-12 Aid,2018-19 Approp_Act Revised Total K-12 Aid,"Equalization
Aid","Educational
Adequacy Aid",Choice Aid,"Transportation
Aid","Special
Education Categorical Aid","Security
Aid","Adjustment
Aid",TOTAL,"One Year
K-12 Aid
Difference",One Year Aid Percent Difference
2018-2019,Bergen,1550,Fort Lee Boro,"2,228,995","2,474,768","2,707,419",0,0,0,"685,744","1,916,432","105,243",0,2707419,"478,424",21.46%
2018-2019,Bergen,1580,Franklin Lakes Boro,"789,334","909,154","909,154",0,0,0,"230,578","657,704","20,872",0,909154,"119,820",15.18%
2018-2019,Bergen,1700,Garfield City,"56,596,841","58,866,841","58,866,841","51,985,785",0,0,"709,240","4,299,757","1,872,059",0,58866841,"2,270,000",4.01%
2018-2019,Bergen,1760,Glen Rock Boro,"1,197,037","1,335,305","1,484,124",0,0,0,"131,824","1,150,705","201,595",0,1484124,"287,087",23.98%
2018-2019,Bergen,1860,Hackensack City,"14,972,649","15,721,282","19,221,282","11,629,505",0,0,"682,382","4,787,838","2,121,557",0,19221282,"4,248,633",28.38%
2018-2019,Bergen,2050,Harrington Park Boro,"317,419","364,802","381,842","2,317",0,0,"75,414","279,759","24,352",0,381842,"64,423",20.30%
2018-2019,Bergen,2080,Hasbrouck Heights Boro,"1,484,965","1,522,186","2,500,974","607,649",0,0,"143,130","1,564,687","185,508",0,2500974,"1,016,009",68.42%
2018-2019,Bergen,2090,Haworth Boro,"225,922","263,228","263,228",0,0,0,"30,722","197,015","33,319","2,172",263228,"37,306",16.51%
2018-2019,Bergen,2180,Hillsdale Boro,"871,860","936,514","936,514","11,741",0,0,"126,575","742,271","55,927",0,936514,"64,654",7.42%
2018-2019,Bergen,2200,Ho Ho Kus Boro,"516,074","556,782","624,294",0,0,0,"203,210","406,460","14,624",0,624294,"108,220",20.97%
2018-2019,Bergen,2620,Leonia Boro,"3,592,204","3,645,414","3,548,136","2,614,849",0,0,0,"896,489","36,798",0,3548136,"-44,068",-1.23%
2018-2019,Bergen,2710,Little Ferry Boro,"2,140,230","2,247,242","4,290,175","2,630,888",0,0,"299,736","1,040,076","319,475",0,4290175,"2,149,945",100.50%
2018-2019,Bergen,2740,Lodi Borough,"15,800,234","16,590,246","18,363,742","13,824,876",0,0,"674,487","2,835,516","1,028,863",0,18363742,"2,563,508",16.22%
2018-2019,Bergen,2860,Lyndhurst Twp,"2,098,617","2,203,548","2,203,548","404,524",0,0,"239,630","1,484,288","75,106",0,2203548,"104,931",5.00%
2018-2019,Bergen,2900,Mahwah Twp,"2,427,120","2,685,621","2,685,621",0,0,0,"636,428","1,989,854","59,339",0,2685621,"258,501",10.65%
2018-2019,Bergen,3060,Maywood Boro,"1,200,808","1,260,849","1,260,849","324,912",0,0,"153,364","759,538","23,035",0,1260849,"60,041",5.00%
2018-2019,Bergen,3170,Midland Park Boro,"647,158","742,564","742,564","33,981",0,0,"107,033","543,404","58,146",0,742564,"95,406",14.74%
2018-2019,Bergen,3330,Montvale Boro,"552,470","611,178","665,799",0,0,0,"192,645","454,655","18,499",0,665799,"113,329",20.51%
2018-2019,Bergen,3350,Moonachie Boro,"410,811","459,351","459,351",0,0,0,"107,072","223,111","112,578","16,590",459351,"48,540",11.82%
2018-2019,Bergen,3550,New Milford Boro,"1,872,920","1,958,416","2,186,847","388,569",0,0,"430,582","1,294,330","73,366",0,2186847,"313,927",16.76%
2018-2019,Bergen,3600,North Arlington Boro,"2,187,694","2,297,079","3,276,493","1,292,668",0,0,"184,243","1,574,641","224,941",0,3276493,"1,088,799",49.77%
2018-2019,Bergen,3700,Northern Highlands Reg,"646,988","690,644","787,304",0,0,0,"272,216","437,417","77,671",0,787304,"140,316",21.69%
2018-2019,Bergen,3710,Northern Valley Regional,"1,313,191","1,458,274","1,459,014",0,0,0,"307,800","1,108,571","42,643",0,1459014,"145,823",11.10%
2018-2019,Bergen,3730,Northvale Boro,"251,083","278,822","297,378",0,0,0,"24,930","232,065","40,383",0,297378,"46,295",18.44%
2018-2019,Bergen,3740,Norwood Boro,"418,355","464,422","464,422",0,0,0,"52,474","370,142","41,806",0,464422,"46,067",11.01%
2018-2019,Bergen,3760,Oakland Boro,"739,445","817,625","870,157",0,0,0,"215,169","603,756","51,232",0,870157,"130,712",17.68%
2018-2019,Bergen,3850,Old Tappan Boro,"399,681","442,963","442,963",0,0,0,"77,746","345,089","20,128",0,442963,"43,282",10.83%
2018-2019,Bergen,3870,Oradell Boro,"377,547","417,490","425,212",0,0,0,"29,595","337,052","58,565",0,425212,"47,665",12.62%
2018-2019,Bergen,3910,Palisades Park,"1,936,474","1,995,923","1,995,923","711,969",0,0,"101,852","959,468","212,501","10,133",1995923,"59,449",3.07%
2018-2019,Bergen,3930,Paramus Boro,"2,204,967","2,542,374","2,598,206",0,0,0,"727,057","1,801,797","69,352",0,2598206,"393,239",17.83%
2018-2019,Bergen,3940,Park Ridge Boro,"630,371","677,209","706,495",0,0,0,"99,501","547,829","59,165",0,706495,"76,124",12.08%
2018-2019,Bergen,3960,Pascack Valley Regional,"1,214,919","1,375,335","1,405,843",0,0,0,"363,359","1,006,656","35,828",0,1405843,"190,924",15.71%
2018-2019,Bergen,4300,Ramapo-Indian Hill Reg,"1,403,572","1,578,415","1,824,745",0,0,0,"698,935","1,085,582","40,228",0,1824745,"421,173",30.01%
2018-2019,Bergen,4310,Ramsey Boro,"1,403,148","1,600,162","1,600,162",0,0,0,"309,420","1,194,536","96,206",0,1600162,"197,014",14.04%
2018-2019,Bergen,4370,Ridgefield Boro,"2,632,415","2,736,338","2,601,290","1,530,497",0,0,0,"974,383","96,410",0,2601290,"-31,125",-1.18%
2018-2019,Bergen,4380,Ridgefield Park Twp,"5,958,857","6,256,800","9,412,261","6,907,061",0,0,"296,758","1,696,661","511,781",0,9412261,"3,453,404",57.95%
2018-2019,Bergen,4390,Ridgewood Village,"2,453,765","2,586,693","3,477,429",0,0,0,"620,535","2,409,152","447,742",0,3477429,"1,023,664",41.72%
2018-2019,Bergen,4405,River Dell Regional,"753,864","817,869","990,197",0,0,0,"199,120","665,856","125,221",0,990197,"236,333",31.35%
2018-2019,Bergen,4410,River Edge Boro,"752,750","790,388","1,935,956","813,663",0,0,"19,622","1,011,024","91,647",0,1935956,"1,183,206",157.20%
2018-2019,Bergen,4430,River Vale Twp,"527,683","550,193","679,804",0,0,0,"126,476","466,459","86,869",0,679804,"152,121",28.83%
2018-2019,Bergen,4470,Rochelle Park Twp,"478,291","529,341","529,341",0,0,0,"103,197","378,613","47,531",0,529341,"51,050",10.67%
2018-2019,Bergen,4500,Rockleigh,"19,730","20,223","35,001",0,0,0,"28,708","4,291","2,002",0,35001,"15,271",77.40%
2018-2019,Bergen,4600,Rutherford Boro,"2,484,902","2,668,945","2,668,027","815,410",0,0,"209,359","1,509,423","133,835",0,2668027,"183,125",7.37%
2018-2019,Bergen,4610,Saddle Brook Twp,"1,170,197","1,291,434","1,291,434","17,740",0,0,"234,147","995,741","43,806",0,1291434,"121,237",10.36%
2018-2019,Bergen,4620,Saddle River Boro,"246,130","265,247","364,260",0,0,0,"202,394","132,546","29,320",0,364260,"118,130",47.99%
2018-2019,Bergen,4870,South Hackensack Twp,"259,447","296,060","296,060",0,0,0,"47,149","211,923","36,988",0,296060,"36,613",14.11%
2018-2019,Bergen,5150,Teaneck Twp,"5,446,179","5,989,277","5,989,277",0,0,0,"2,348,999","2,694,376","945,902",0,5989277,"543,098",9.97%
2018-2019,Bergen,5160,Tenafly Boro,"1,603,648","1,688,573","2,190,766",0,0,0,"353,878","1,551,244","285,644",0,2190766,"587,118",36.61%
2018-2019,Bergen,5330,Upper Saddle River Boro,"588,579","651,161","693,797",0,0,0,"150,581","489,279","53,937",0,693797,"105,218",17.88%
2018-2019,Bergen,5410,Waldwick Boro,"956,914","1,068,287","1,505,806","90,244",0,0,"199,527","1,090,126","125,909",0,1505806,"548,892",57.36%
2018-2019,Bergen,5430,Wallington Boro,"3,605,399","3,785,669","4,949,440","3,344,966",0,0,"166,028","1,179,528","258,918",0,4949440,"1,344,041",37.28%
2018-2019,Bergen,5755,Westwood Regional,"1,813,867","2,041,361","2,041,361",0,0,0,"422,522","1,563,802","55,037",0,2041361,"227,494",12.54%
2018-2019,Bergen,5830,Wood-Ridge Boro,"834,081","883,186","883,186","79,500",0,0,"118,852","662,355","22,479",0,883186,"49,105",5.89%
2018-2019,Bergen,5880,Woodcliff Lake Boro,"390,191","443,118","443,118",0,0,0,"62,505","336,041","44,572",0,443118,"52,927",13.56%
2018-2019,Bergen,5920,Wyckoff Twp,"990,656","1,106,086","1,226,819",0,0,0,"277,625","831,160","118,034",0,1226819,"236,163",23.84%
2018-2019,Burlington,200,Bass River Twp,"868,965","887,815","856,620","638,484",0,0,"29,712","81,213","26,554","80,657",856620,"-12,345",-1.42%
2018-2019,Burlington,380,Beverly City,"3,660,781","3,680,680","3,660,332","2,420,975",0,0,"193,173","182,606","105,269","758,309",3660332,-449,-0.01%
2018-2019,Burlington,475,Bordentown Regional,"8,279,997","8,693,997","8,693,997","6,422,773",0,0,"729,374","1,470,071","71,779",0,8693997,"414,000",5.00%
2018-2019,Burlington,600,Burlington City,"16,661,574","16,734,628","16,734,628","13,867,857",0,0,"205,655","935,688","480,795","1,244,633",16734628,"73,054",0.44%
2018-2019,Burlington,610,Burlington Co Vocational,"14,599,895","14,656,986","14,656,986","13,228,997",0,0,0,"1,183,421","244,568",0,14656986,"57,091",0.39%
2018-2019,Burlington,620,Burlington Twp,"19,066,813","20,020,154","20,020,154","15,389,989",0,0,"1,741,167","2,355,238","533,760",0,20020154,"953,341",5.00%
2018-2019,Burlington,830,Chesterfield Twp,"821,188","862,248","2,403,780","1,545,186",0,0,"143,738","654,710","60,146",0,2403780,"1,582,592",192.70%
2018-2019,Burlington,840,Cinnaminson Twp,"9,070,845","9,297,616","9,297,616","7,371,587",0,0,"483,083","1,385,471","57,475",0,9297616,"226,771",2.50%
2018-2019,Burlington,1030,Delanco Twp,"2,492,244","2,497,232","2,497,232","2,105,710",0,0,"48,300","317,297","25,925",0,2497232,"4,988",0.20%
2018-2019,Burlington,1060,Delran Twp,"12,517,676","13,143,560","14,114,510","10,617,062",0,0,"516,610","2,561,908","418,930",0,14114510,"1,596,834",12.76%
2018-2019,Burlington,1250,Eastampton Twp,"4,590,695","4,651,619","4,544,057","4,148,569",0,0,0,"389,996","5,492",0,4544057,"-46,638",-1.02%
2018-2019,Burlington,1280,Edgewater Park Twp,"6,860,711","7,203,747","7,203,747","5,835,068",0,0,"470,640","592,870","305,169",0,7203747,"343,036",5.00%
2018-2019,Burlington,1420,Evesham Twp,"13,519,426","13,903,697","13,088,470","9,135,441",0,0,"546,377","3,024,808","381,844",0,13088470,"-430,956",-3.19%
2018-2019,Burlington,1520,Florence Twp,"9,672,880","9,769,215","9,769,215","8,371,715",0,0,"262,668","1,024,804","110,028",0,9769215,"96,335",1.00%
2018-2019,Burlington,1910,Hainesport Twp,"1,369,095","1,411,235","1,331,665","689,609",0,0,"137,699","441,909","62,448",0,1331665,"-37,430",-2.73%
2018-2019,Burlington,2610,Lenape Regional,"28,686,546","29,261,292","28,299,836","22,738,228",0,0,"874,930","4,238,655","448,023",0,28299836,"-386,710",-1.35%
2018-2019,Burlington,2850,Lumberton Twp,"8,176,517","8,306,903","8,037,272","6,879,838",0,0,"73,845","906,745","176,844",0,8037272,"-139,245",-1.70%
2018-2019,Burlington,2960,Mansfield Twp,"627,556","665,705","665,705","59,647",0,0,"162,397","393,264","50,397",0,665705,"38,149",6.08%
2018-2019,Burlington,3010,Maple Shade Twp,"9,192,188","9,651,798","10,262,185","7,665,842",0,0,"587,335","1,384,544","624,464",0,10262185,"1,069,997",11.64%
2018-2019,Burlington,3070,Medford Lakes Boro,"1,220,483","1,281,507","1,489,202","958,853",0,0,"26,367","461,143","42,839",0,1489202,"268,719",22.02%
2018-2019,Burlington,3080,Medford Twp,"4,769,108","4,986,803","4,699,821","2,700,883",0,0,"240,580","1,680,355","78,003",0,4699821,"-69,287",-1.45%
2018-2019,Burlington,3360,Moorestown Twp,"3,268,702","3,575,367","3,575,367",0,0,0,"818,042","2,443,267","314,058",0,3575367,"306,665",9.38%
2018-2019,Burlington,3430,Mount Holly Twp,"10,044,255","10,295,362","10,295,362","8,048,990",0,0,"127,355","755,237","337,977","1,025,803",10295362,"251,107",2.50%
2018-2019,Burlington,3440,Mount Laurel Twp,"4,512,427","4,836,580","4,836,580",0,0,0,"2,093,313","2,405,536","337,731",0,4836580,"324,153",7.18%
2018-2019,Burlington,3540,New Hanover Twp,"2,413,419","2,448,308","2,430,790","1,920,834",0,0,"161,552","152,726","78,055","117,623",2430790,"17,371",0.72%
2018-2019,Burlington,3650,North Hanover Twp,"11,604,992","11,803,550","11,803,550","9,877,056",0,0,"488,491","842,583","192,147","403,273",11803550,"198,558",1.71%
2018-2019,Burlington,3690,Northern Burlington Reg,"12,714,206","13,395,709","13,395,709","10,397,546",0,"490,365","1,212,916","1,088,835","206,047",0,13395709,"681,503",5.36%
2018-2019,Burlington,3920,Palmyra Boro,"4,807,229","5,047,591","5,047,591","3,932,441",0,0,"97,770","696,197","218,608","102,575",5047591,"240,362",5.00%
2018-2019,Burlington,4050,Pemberton Twp,"82,089,354","82,748,278","80,777,705","44,597,100",0,"61,833","2,481,707","3,488,912","1,398,487","28,749,666",80777705,"-1,311,649",-1.60%
2018-2019,Burlington,4320,Rancocas Valley Regional,"16,095,580","16,293,099","16,293,099","13,354,556",0,0,"1,109,889","1,251,944","308,091","268,619",16293099,"197,519",1.23%
2018-2019,Burlington,4450,Riverside Twp,"11,173,307","11,731,972","11,731,972","10,277,763",0,0,"187,558","827,038","439,613",0,11731972,"558,665",5.00%
2018-2019,Burlington,4460,Riverton,"547,970","570,016","541,828","284,559",0,0,"19,613","204,103","33,553",0,541828,"-6,142",-1.12%
2018-2019,Burlington,4740,Shamong Twp,"4,251,771","4,258,290","4,194,324","3,430,365",0,0,"191,437","507,214","65,308",0,4194324,"-57,447",-1.35%
2018-2019,Burlington,4930,Southampton Twp,"2,092,492","2,181,681","2,039,897","425,897",0,0,"420,886","489,699","94,037","609,378",2039897,"-52,595",-2.51%
2018-2019,Burlington,5010,Springfield Twp,"1,191,238","1,220,618","1,142,734","763,643",0,0,"139,769","159,516","22,357","57,449",1142734,"-48,504",-4.07%
2018-2019,Burlington,5130,Tabernacle Twp,"5,363,877","5,428,064","5,229,442","3,405,745",0,0,"344,597","543,635","66,283","869,182",5229442,"-134,435",-2.51%
2018-2019,Burlington,5490,Washington Twp,"660,322","660,322","612,248","145,473",0,"14,422","83,884","52,560","9,777","306,132",612248,"-48,074",-7.28%
2018-2019,Burlington,5720,Westampton,"3,750,314","3,937,830","3,937,830","2,864,330",0,0,"408,807","571,393","93,300",0,3937830,"187,516",5.00%
2018-2019,Burlington,5805,Willingboro Twp,"38,471,878","38,902,511","38,902,511","34,408,654",0,0,"1,015,853","2,391,334","1,086,670",0,38902511,"430,633",1.12%
2018-2019,Burlington,5890,Woodland Twp,"908,807","923,591","900,238","706,424",0,0,"63,364","100,588","16,311","13,551",900238,"-8,569",-0.94%
2018-2019,Camden,150,Audubon Boro,"8,409,554","8,841,606","8,804,677","5,957,483",0,"1,050,420","73,419","1,046,915","200,391","476,049",8804677,"395,123",4.70%
2018-2019,Camden,190,Barrington Boro,"3,343,697","3,427,290","3,427,290","2,746,512",0,0,"75,087","524,444","81,247",0,3427290,"83,593",2.50%
2018-2019,Camden,260,Bellmawr Boro,"5,533,555","5,813,689","6,327,656","4,812,506",0,"171,607","74,021","931,640","337,882",0,6327656,"794,101",14.35%
2018-2019,Camden,330,Berlin Boro,"3,725,649","3,911,932","3,911,932","3,037,141",0,0,"254,835","521,625","98,331",0,3911932,"186,283",5.00%
2018-2019,Camden,340,Berlin Twp,"5,695,151","5,895,815","5,895,815","4,507,657",0,"460,835","270,602","448,106","208,615",0,5895815,"200,664",3.52%
2018-2019,Camden,390,Black Horse Pike Regional,"33,589,058","34,123,559","34,123,559","30,659,531",0,0,"875,368","2,425,197","163,463",0,34123559,"534,501",1.59%
2018-2019,Camden,580,Brooklawn Boro,"4,482,694","4,482,694","4,425,405","3,488,270",0,"462,076","17,795","271,023","110,945","75,296",4425405,"-57,289",-1.28%
2018-2019,Camden,680,Camden City,"280,088,059","282,029,317","282,029,317","215,719,201",0,0,"4,491,244","9,745,700","7,024,657","45,048,515",282029317,"1,941,258",0.69%
2018-2019,Camden,700,Camden County Vocational,"22,581,598","23,608,172","23,608,172","21,139,963",0,0,0,"1,725,942","742,267",0,23608172,"1,026,574",4.55%
2018-2019,Camden,800,Cherry Hill Twp,"14,131,515","14,727,844","17,295,270","6,691,777",0,0,"2,884,053","6,480,802","1,238,638",0,17295270,"3,163,755",22.39%
2018-2019,Camden,810,Chesilhurst,"2,448,069","2,491,488","2,420,230","1,533,518",0,0,"170,166","95,861","50,877","569,808",2420230,"-27,839",-1.14%
2018-2019,Camden,880,Clementon Boro,"6,375,111","6,378,661","6,378,661","5,793,075",0,0,"78,718","371,383","135,485",0,6378661,"3,550",0.06%
2018-2019,Camden,940,Collingswood Boro,"10,375,955","10,489,030","10,484,844","7,838,657",0,"332,864","176,430","1,012,100","341,486","783,307",10484844,"108,889",1.05%
2018-2019,Camden,1255,Eastern Camden County Reg,"9,292,586","9,446,308","9,224,954","7,393,341",0,0,"448,029","1,217,428","166,156",0,9224954,"-67,632",-0.73%
2018-2019,Camden,1720,Gibbsboro Boro,"1,387,627","1,413,004","1,368,663","857,242",0,0,"20,818","163,500","25,761","301,342",1368663,"-18,964",-1.37%
2018-2019,Camden,1770,Gloucester City,"29,595,537","29,801,218","29,595,537","19,016,980",0,0,"233,679","1,108,064","759,837","8,476,977",29595537,0,0.00%
2018-2019,Camden,1780,Gloucester Twp,"50,988,439","51,917,671","51,917,671","45,803,377",0,0,"1,634,840","3,992,445","487,009",0,51917671,"929,232",1.82%
2018-2019,Camden,1880,Haddon Heights Boro,"1,729,957","1,734,308","1,721,390","446,874",0,"468,520","118,664","501,850","81,344","104,138",1721390,"-8,567",-0.50%
2018-2019,Camden,1890,Haddon Twp,"8,447,619","8,558,503","8,198,876","7,088,284",0,0,0,"1,110,592",0,0,8198876,"-248,743",-2.95%
2018-2019,Camden,1900,Haddonfield,"1,078,297","1,190,808","1,508,822",0,0,0,"183,654","1,122,423","200,857","1,888",1508822,"430,525",39.93%
2018-2019,Camden,2130,Hi Nella,"926,158","972,466","1,039,658","841,280",0,0,"37,318","118,572","42,488",0,1039658,"113,500",12.25%
2018-2019,Camden,2540,Laurel Springs Boro,"1,999,445","2,100,793","2,100,793","1,617,905",0,"167,544","22,482","239,471","53,391",0,2100793,"101,348",5.07%
2018-2019,Camden,2560,Lawnside Boro,"3,866,307","4,082,658","4,082,658","3,424,414",0,"88,250","101,997","317,335","150,662",0,4082658,"216,351",5.60%
2018-2019,Camden,2670,Lindenwold Boro,"25,707,429","26,981,830","26,981,830","23,200,961",0,"297,472","834,376","1,431,101","1,217,920",0,26981830,"1,274,401",4.96%
2018-2019,Camden,2890,Magnolia Boro,"3,131,770","3,210,064","3,210,064","2,851,527",0,0,"16,028","244,021","98,488",0,3210064,"78,294",2.50%
2018-2019,Camden,3110,Merchantville Boro,"2,473,482","2,571,762","3,145,010","1,907,615",0,"546,700","111,609","446,058","133,028",0,3145010,"671,528",27.15%
2018-2019,Camden,3420,Mount Ephraim Boro,"4,015,533","4,145,226","4,145,226","3,361,546",0,"232,804","45,548","395,830","109,498",0,4145226,"129,693",3.23%
2018-2019,Camden,3770,Oaklyn Boro,"2,627,039","2,627,039","2,539,339","2,145,996",0,"53,210","16,236","275,669","48,228",0,2539339,"-87,700",-3.34%
2018-2019,Camden,4060,Pennsauken Twp,"49,336,778","51,803,617","51,803,617","44,078,031",0,0,"2,186,740","3,608,865","1,929,981",0,51803617,"2,466,839",5.00%
