YEAR,COUNTY_ID,COUNTY_NAME,DISTRICT_ID,DISTRICT_NAME,SCHOOL_CODE,SCHOOL_NAME,SUBGROUP,FOUR_YR_GRAD_RATE,FOUR_YR_ADJ_COHORT_COUNT,GRADUATED_COUNT
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Economically Disadvantaged,71.11,405,288
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Students with Disability,64.91,114,74
2015,1,ATLANTIC,110,ATLANTIC CITY,999,Districtwide Total,Districtwide,73.71,582,429
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,White,96.88,96,93
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Black,100,62,62
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Hispanic,98.65,74,73
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Asian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,American Indian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Native Hawaiian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Two or More Races,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Economically Disadvantaged,98.55,138,136
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Students with Disability,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,10,ATLANTIC COUNTY INSTITUTE OF TECHNOLOGY,Schoolwide,98.08,260,255
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,White,96.88,96,93
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Black,100,62,62
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Hispanic,98.65,74,73
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Asian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Economically Disadvantaged,98.55,138,136
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Students with Disability,-,-,-
2015,1,ATLANTIC,120,ATLANTIC CO VOCATIONAL,999,Districtwide Total,Districtwide,98.08,260,255
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,White,90.4,125,113
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Black,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Hispanic,86.67,30,26
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Economically Disadvantaged,85.07,67,57
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Students with Disability,71.88,32,23
2015,1,ATLANTIC,590,BUENA REGIONAL,25,BUENA REGIONAL HIGH SCHOOL,Schoolwide,90.56,180,163
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,White,90.4,125,113
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Black,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Hispanic,86.67,30,26
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Asian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Economically Disadvantaged,85.07,67,57
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Students with Disability,71.88,32,23
2015,1,ATLANTIC,590,BUENA REGIONAL,999,Districtwide Total,Districtwide,90.56,180,163
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,White,95.53,291,278
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Black,92.45,53,49
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Hispanic,90.73,151,137
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Asian,95.4,87,83
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Two or More Races,91.43,35,32
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Economically Disadvantaged,93.51,231,216
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Students with Disability,86.05,86,74
2015,1,ATLANTIC,1310,EGG HARBOR TWP,5,EGG HARBOR TOWNSHIP HIGH SCHOOL,Schoolwide,93.85,618,580
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,White,95.53,291,278
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Black,92.45,53,49
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Hispanic,90.73,151,137
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Asian,95.4,87,83
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Two or More Races,91.43,35,32
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Economically Disadvantaged,93.51,231,216
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Students with Disability,86.05,86,74
2015,1,ATLANTIC,1310,EGG HARBOR TWP,999,Districtwide Total,Districtwide,93.85,618,580
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,White,91.54,201,184
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Black,81.36,59,48
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Hispanic,88.41,69,61
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Asian,95.31,64,61
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Economically Disadvantaged,88.73,142,126
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Students with Disability,88.73,71,63
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,40,ABSEGAMI HIGH SCHOOL,Schoolwide,90.25,400,361
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,White,90.4,125,113
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Black,92,75,69
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Hispanic,95.24,42,40
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Economically Disadvantaged,89.81,108,97
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Students with Disability,75.44,57,43
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,50,OAKCREST HIGH SCHOOL,Schoolwide,91.98,262,241
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,White,94.57,129,122
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Black,83.33,30,25
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Hispanic,89.13,46,41
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Economically Disadvantaged,88.75,80,71
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Students with Disability,89.19,37,33
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,60,CEDAR CREEK HIGH SCHOOL,Schoolwide,92.02,213,196
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,White,92.09,455,419
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Black,86.59,164,142
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Hispanic,90.45,157,142
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Asian,96.39,83,80
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Economically Disadvantaged,89.09,330,294
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Students with Disability,84.24,165,139
2015,1,ATLANTIC,1790,GREATER EGG HARBOR REG,999,Districtwide Total,Districtwide,91.2,875,798
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,White,92.62,271,251
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Black,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Hispanic,85.96,57,49
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Economically Disadvantaged,82.47,97,80
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Students with Disability,77.78,54,42
2015,1,ATLANTIC,1960,HAMMONTON TOWN,50,HAMMONTON HIGH SCHOOL,Schoolwide,91.17,351,320
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,White,92.62,271,251
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Black,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Hispanic,85.96,57,49
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Asian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Economically Disadvantaged,82.47,97,80
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Students with Disability,77.78,54,42
2015,1,ATLANTIC,1960,HAMMONTON TOWN,999,Districtwide Total,Districtwide,91.17,351,320
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,White,96.97,264,256
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Black,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Hispanic,88.57,35,31
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Economically Disadvantaged,90.16,61,55
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Students with Disability,86.49,37,32
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,50,MAINLAND REGIONAL HIGH SCHOOL,Schoolwide,95.93,344,330
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,White,96.97,264,256
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Black,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Hispanic,88.57,35,31
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Asian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Economically Disadvantaged,90.16,61,55
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Students with Disability,86.49,37,32
2015,1,ATLANTIC,2910,MAINLAND REGIONAL,999,Districtwide Total,Districtwide,95.93,344,330
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,White,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Black,77.27,88,68
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Hispanic,84.91,106,90
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Asian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,American Indian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Native Hawaiian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Two or More Races,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Economically Disadvantaged,82.35,187,154
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Students with Disability,74.42,43,32
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,50,PLEASANTVILLE HIGH SCHOOL,Schoolwide,81.36,220,179
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,White,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Black,77.27,88,68
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Hispanic,84.91,106,90
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Asian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,American Indian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Native Hawaiian,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Two or More Races,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Limited English Proficiency,-,-,-
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Economically Disadvantaged,82.35,187,154
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Students with Disability,74.42,43,32
2015,1,ATLANTIC,4180,PLEASANTVILLE CITY,999,Districtwide Total,Districtwide,81.36,220,179
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,White,100,67,67
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Black,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Hispanic,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Asian,100,89,89
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,American Indian,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Native Hawaiian,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Two or More Races,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Limited English Proficiency,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Economically Disadvantaged,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Students with Disability,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,20,BERGEN COUNTY ACADEMIES,Schoolwide,99.46,185,184
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,White,100,57,57
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Black,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Hispanic,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Asian,100,37,37
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,American Indian,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Native Hawaiian,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Two or More Races,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Limited English Proficiency,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Economically Disadvantaged,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Students with Disability,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,70,BERGEN COUNTY TECHNICAL HIGH SCHOOL - TETERBORO,Schoolwide,100,137,137
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,999,Districtwide Total,White,100,125,125
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,999,Districtwide Total,Black,-,-,-
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,999,Districtwide Total,Hispanic,100,45,45
2015,3,BERGEN,290,BERGEN COUNTY VOCATIONAL,999,Districtwide Total,Asian,100,126,126
